id;date;description;amount;type
1;2020-04-02T14:00:44;Mississippi New Mexico Towels;97552;DEPOSIT
2;2020-04-01T18:47:03;actuating innovate white;58866;WITHDRAWAL
3;2020-04-02T02:04:26;Senior;84943;TRANSFER
4;2020-04-02T06:13:05;Rustic architect;86710;DEPOSIT
5;2020-04-02T03:04:49;Home Loan Account local navigate;67068;DEPOSIT
6;2020-04-02T17:32:59;Ergonomic Triple-buffered infrastructures;72605;WITHDRAWAL
7;2020-04-02T01:46:10;program reintermediate synthesizing;73359;DEPOSIT
8;2020-04-02T13:15:39;Rustic eyeballs Montana;29955;WITHDRAWAL
9;2020-04-02T02:18:45;cross-platform;98333;WITHDRAWAL
10;2020-04-02T11:41:22;iterate;92147;DEPOSIT
